Date,Well,Pot Gross,Pot Nett,Pot WC,Test,Date of Test,Production Zone,Status/Lifting,P.csg,P.tbg,P.fl,P.sep,Avg Prod Prev Month Gross,Avg Prod Prev Month Oil,Prev Day Gross,Prev Day Oil,Production Test Gross,Production Test Oil,Prod Act Gross,Prod Act Oil,Prod Act WC,Selisih Potensi,Selisih Last,Gas Inj (Mscfd),Gas Out SB (Mscfd),Gas Out SA (Mscfd),Gas Own (Mscfd),Tanggal Mulai Produksi,Keterangan,GS,CATEGORY,Bulan Ke,Date&Well,Struktur
2026-01-01,BN-039,2286.0,45.0,98.03149606299213,,2025-12-30 00:00:00,J-74,108 Hz,0,98,98,34,898.4791666666666,26.456944444444442,2152.0,48.0,2152.0,48.0,2152.0,48.0,97.76951672862454,3.0,0.0,0,62.0,,62.0,PES -03.12.25,,IV,,1,46023BN-039,Bunyu Nibung
2026-01-01,BN-051,0.0,0.0,0.0,,2025-12-17 00:00:00,MFS-DD/DD-30/DD-30,Tutup,0,0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,KUPL-25.10.25,,IV,,1,46023BN-051,Bunyu Nibung
2026-01-01,BN-053,3.0,3.0,0.0,T,2026-01-01 00:00:00,V-50,SB OF,302,87,87,33,0,0.45161290322580644,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,450,1035.0,,585.0,KUPL-21.12.25,,IV,,1,46023BN-053,Bunyu Nibung
2026-01-01,BN-054,0.0,0.0,0.0,,2025-10-30 00:00:00,F-55,Tutup,0,0,0,0,3.54375,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,PES-01.09.25,"Shut in, WC 100 %",IV,,1,46023BN-054,Bunyu Nibung
2026-01-01,BCT-03,0.0,0.19047619047619047,0.0,,2025-12-20 00:00:00,O-60/G-20,SA OF,0,95,95,30,0,0,0.0,0.0,0.01,0.0,0.0,0.0,,-0.19047619047619047,0.0,0,0.0,180.0,180.0,PE-04.06.25,,IV,,1,46023BCT-03,Bunyu
2026-01-01,B-102,153.0,13.0,91.50326797385621,,2025-12-28 00:00:00,L-30,SB OF,280,44,44,28,,,68.0,6.0,61.39828380000001,12.0127077,68.0,6.0,91.17647058823529,-7.0,0.0,408,488.0,,80.0,PES - 14.06.21,,I,,1,46023B-102,Bunyu
2026-01-01,B-081,1352.0,42.5,0.0,,2025-12-30 00:00:00,R-10,SB OF,340,82,84,27,915.475,25.17777777777778,1296.0,50.0,1302.7114128,53.389812,1296.0,50.0,96.14197530864197,7.5,0.0,300,385.0,,85.0,KUPL-27.01.25,,I,,1,46023B-081,Bunyu
2026-01-01,B-176,0.0,0.0,0.0,,2025-12-19 00:00:00,N-80,SA 13,368,1049,67,32,24,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,289.0,289.0,KUPL-13.11.25,,I,,1,46023B-176,Bunyu
2026-01-01,B-179,1943.0,150.0,92.27997941327844,T,2026-01-01 00:00:00,P-45,98 Hz,0,90,90,27,1947.2791666666667,157.82083333333333,2023.0,156.0,1930.0417038,160.16943600000002,1930.0,160.0,91.70984455958549,10.0,4.0,0,268.0,,268.0,PES - 14.04.21,,I,,1,46023B-179,Bunyu
2026-01-01,B-181,1247.0,33.0,97.35364875701684,,2025-12-27 00:00:00,J-71,SB 43,360,140,83,25,1042.2333333333333,23.833333333333332,1121.0,40.5,1137.2029956000001,42.7118496,1121.0,40.5,96.38715432649421,7.5,0.0,252,252.0,,0.0,KUPL-02.10.23,,I,,1,46023B-181,Bunyu
